"X...ID";"ClassNr";"Grade";"Sex";"AgeW1";"ETH01";"ETH03";"EduLevel";"StateW16";"TypeD1";"AWB01W14";"CWB01W14";"MPT01W14";"INTGDW1";"INTGFW1";"INTGMW1";"INPD1W1";"INAD1W1";"INPD2W1";"INAD2W1";"INPF1W1";"INAF1W1";"INPF2W1";"INAF2W1";"INAL0W1";"INC01W13";"INF01W1";"INF02W1";"FBI01W1R";"FBI02W1";"IFI01W1";"IFI02W1";"FNr01W1";"NCompletedE1";"NCompletedE2";"donated";"DDPcomp";"intended";"numcompl";"PAF";"NAF";"SEEW14";"LONW14";"SRT14";"SCPW1";"MPSW1";"FQW1";"PRW14";"PMKW14";"ADSW14"
151;"7";"9";"Jongen";15.01709;"Nederland";"Nederlander";"Havo";"completed";NA;5;7;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";3;40;"7 dagen";"1 dag";"4 dagen";"6 dagen";5;1;4;3;NA;"one";132;3;6;5;5;3;6;107;50;0;1;1;94;3.42857142857143;2;4;2;3.77777777777778;4.33333333333333;2.8;4.75;2;2.75;1.5
59;"30";"9";"Meisje";14.68865;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";"smallgroup";6;8;"Ik heb een iPhone";"7 keer  per week";25;60;"7 dagen";"Nooit";"7 dagen";"7 dagen";25;0;10;8;"INAL2W1";"multiple";1700;4;6;6;5;3;8;107;62;1;1;1;100;3;2.28571428571429;4.5;1.4;3.33333333333333;4;3;4.5;1;3.25;2
9;"31";"9";"Jongen";14.18501;"Nederland";"Nederlander";"Vmbo";"completed";"public";5;7;"Ik heb een iPhone";"7 keer  per week";4;5;"7 dagen";"Nooit";"Nooit";"Nooit";4;0;0;0;"INAL2W1,INAL4W1";"none";600;1;NA;NA;6;2;6;98;107;1;1;1;100;3.85714285714286;2.71428571428571;4.5;2.4;3.11111111111111;2;1.6;4;5;2;3
321;"26";"9";"Meisje";14.18549;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";NA;5;6;"Ik heb een iPhone";"7 keer  per week";12;30;"7 dagen";"Nooit";"1 dag";"1 dag";7;0;1;1;"INAL2W1";"multiple";550;4;8;NA;7;4;19;102;107;0;0;1;99;2.85714285714286;2.42857142857143;3.25;3;3.11111111111111;5.33333333333333;2;4;2;3;1.5
138;"1";"9";"Jongen";15.1841;"Nederland";"Nederlander";"Vmbo";"completed";"smallgroup";6;7;"Ik heb een iPhone";"2 keer  per week";2;20;"2 dagen";"Nooit";"2 dagen";"Nooit";2;0;2;0;"INAL2W1,INAL4W1";"one";300;1;NA;NA;2;2;10;118;118;1;1;1;100;4.28571428571429;1.42857142857143;4.25;1.8;3.55555555555556;4;3.2;3.75;5;2.25;2
182;"30";"9";"Meisje";14.76531;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";"public";5;7;"Ik heb een iPhone";"7 keer  per week";5;240;"7 dagen";"1 dag";"6 dagen";"6 dagen";6;1;5;5;NA;"multiple";1480;6;7;5;6;5;3;105;102;1;1;1;100;2.14285714285714;3;2.25;3.6;2;4.66666666666667;2.6;4.25;4;3;2.25
186;"17";"8";"Meisje";13.60459;"Nederland";"Nederlander";"Vmbo";"completed";NA;7;8;"Ik heb een iPhone";"6 keer  per week";1;10;"2 dagen";"Nooit";"1 dag";"Nooit";1;0;1;0;"INAL2W1";"none";100;1;NA;NA;6;2;6;108;101;0;1;0;100;3.85714285714286;1.71428571428571;4;1.6;3.44444444444444;4;2.2;4.25;3;4;2
218;"11";"9";"Jongen";14.52209;"Nederland";"Nederlander";"Vmbo";"completed";NA;5;8;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";7;20;"7 dagen";"Nooit";"1 dag";"1 dag";10;0;1;2;"INAL2W1";"multiple";100;5;8;NA;4;5;2;107;13;1;1;1;50;3.14285714285714;2.85714285714286;3.25;3.4;2.33333333333333;5;2.2;3.5;1;2.5;5
193;"18";"9";"Meisje";14.76594;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";NA;7;7;"Ik heb een iPhone";"6 keer  per week";2;8;"6 dagen";"Nooit";"6 dagen";"6 dagen";1;0;3;3;"INAL2W1";"multiple";1200;1;5;5;4;1;4;68;57;0;1;1;93;4;2.85714285714286;2.75;3;3;2;3;4.75;4;1.75;2
98;"1";"9";"Jongen";14.93495;"Nederland";"Nederlander";"Vmbo";"completed";NA;4;4;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";5;60;"7 dagen";"Nooit";"7 dagen";"7 dagen";3;0;5;5;"INAL2W1";"none";270;2;5;6;4;4;8;118;116;0;0;0;98;4;1.42857142857143;4;1;3;2.66666666666667;3.6;3.75;1;3;2
176;"30";"9";"Meisje";14.43677;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";NA;6;8;"Ik heb een iPhone";"7 keer  per week";5;45;"7 dagen";"2 dagen";"7 dagen";"7 dagen";3;1;1;1;NA;"none";321;4;6;5;4;4;6;108;12;0;1;0;88;3.42857142857143;1.85714285714286;4.5;1;2.88888888888889;1.66666666666667;3.2;4;2;3;2
79;"6";"9";"Jongen";14.6889;"Nederland";"Nederlander";"Havo";"completed";"public";7;1;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";6;20;"7 dagen";"Nooit";"Nooit";"Nooit";2;0;0;0;"INAL2W1";"multiple";400;2;NA;NA;3;1;12;123;119;1;1;1;100;4.14285714285714;1.14285714285714;5;1;3.55555555555556;5;2.4;4.75;2;1.75;1
362;"11";"9";"Jongen";14.76578;"Nederland";"Nederlander";"Vmbo";"completed";NA;6;7;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";2;30;"7 dagen";"Nooit";"3 dagen";"3 dagen";5;0;3;1;"INAL5W1";"one";420;3;8;NA;4;4;10;81;98;0;1;0;100;4.28571428571429;1.71428571428571;4.5;1;3.88888888888889;4;3.8;4;1;1;2
7;"23";"9";"Meisje";15.68856;"Nederland";"Nederlander";"Havo";"completed";NA;6;8;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"6 keer  per week";6;30;"7 dagen";"Nooit";"Nooit";"Nooit";5;0;0;0;"INAL2W1,INAL3W1";"none";220;4;NA;NA;6;5;5;118;117;0;1;0;100;3.71428571428571;1.71428571428571;4.5;1.6;3.11111111111111;4;3.2;4.5;2;1.25;1
